name,municipality,iata_code
Diego Aracena Airport,Iquique,IQQ
Comodoro Arturo Merino Benítez International Airport,Santiago,SCL
Ricardo García Posada Airport,El Salvador,ESR
El Avellano Airport,Frutillar,FRT
Andrés Sabella Gálvez International Airport,Antofagasta,ANF
Captain Fuentes Martinez Airport,Porvenir,WPR
Futaleufú Airport,Futaleufu,FFU
María Dolores Airport,Los Angeles,LSQ
Guardiamarina Zañartu Airport,Puerto Williams,WPU
Cochrane Airport,Cochrane,LGR
Carriel Sur Airport,Concepcion,CCP
Mataveri Airport,Isla De Pascua,IPC
Cañal Bajo Carlos - Hott Siebert Airport,Osorno,ZOS
Coposa Airport,Pica,CPP
Vallenar Airport,Vallenar,VLR
Municipal de Linares Airport,Linares,ZLR
Lieutenant Julio Gallardo Airport,Puerto Natales,PNT
El Tuqui Airport,Ovalle,OVL
Pucón Airport,Pucon,ZPC
Mocopulli Airport,Dalcahue,MHC
El Mirador Airport,Puerto Varas,PUX
La Araucanía Airport,Temuco,ZCO
Chañaral Airport,Chañaral,CNR
Rodelillo Airport,Viña Del Mar,VAP
Teniente Rodolfo Marsh Martin Airport,Villa Las Estrellas,TNM
Franco Bianco Airport,Cerro Sombrero,SMB
La Florida Airport,La Serena-Coquimbo,LSC
Gamboa Airport,Castro,WCA
Maquehue Airport,Temuco,PZS
El Tepual Airport,Puerto Montt,PMC
Panguilemo Airport,Talca,TLX
Victoria Airport,Victoria,ZIC
Las Breas Airport,Taltal,TTC
Pichoy Airport,Valdivia,ZAL
Viña del mar Airport,Viña Del Mar,KNA
Senadora Eunice Micheles Airport,São Paulo De Olivença,OLC
Sorocaba Airport,Sorocaba,SOD
Saidor Airport,Saidor,SDI
Itanhaém Airport,Itanhaém,JTN
Jales Airport,Jales,JLS
Mococa Airport,Mococa,QOA
Lençóis Paulista Airport,Lençóis Paulista,QGC
Brigadeiro Eduardo Gomes Airport,Nova Mutum,NVM
Ourinhos Airport,Ourinhos,OUS
Ourilândia do Norte Airport,Ourilândia do Norte,OIA
Piracicaba Airport,Piracicaba,QHB
Resende Airport,Resende,REZ
Mário Pereira Lopes–São Carlos Airport,São Carlos,QSC
Paraty Airport,Paraty,JPY
Ubatuba Gastão Madeira State Airport,Ubatuba,UBT
Itaperuna Airport,Itaperuna,ITP
Votuporanga Airport,Votuporanga,VOT
Pedro Teixeira Castelo Airport,Tauá,JTA
Chachoán Regional Airport,Ambato,ATF
Francisco De Orellana Airport,Coca,OCC
Mariscal Lamar Airport,Cuenca,CUE
Seymour Galapagos Ecological Airport,Isla Baltra,GPS
José Joaquín de Olmedo International Airport,Guayaquil,GYE
General Villamil Airport,Puerto Villamil,IBB
Jipijapa Airport,Jipijapa,JIP
Cotopaxi International Airport,Latacunga,LTX
Jose Maria Velasco Ibarra Airport,Macará,MRR
Coronel E Carvajal Airport,Macas,XMS
Eloy Alfaro International Airport,Manta,MEC
Nueva Loja Airport,Lago Agrio,LGQ
Putumayo Airport,Puerto Putumayo,PYO
Reales Tamarindos Airport,Portoviejo,PVO
Mariscal Sucre International Airport,Quito,UIO
Santa Rosa - Artillery Colonel Victor Larrea International Airport,Santa Rosa,ETR
General Ulpiano Paez Airport,Salinas,SNC
Sucua Airport,Sucua,SUQ
Rio Amazonas Airport,Shell Mera,PTZ
San Cristóbal Airport,Puerto Baquerizo Moreno,SCY
Los Perales Airport,Bahía de Caraquez,BHA
Taisha Airport,Taisha,TSC
Tiputini Airport,Tiputini,TPN
Camilo Ponce Enriquez Airport,La Toma (Catamayo),LOH
General Rivadeneira Airport,Tachina,ESM
Tarapoa Airport,Tarapoa,TPC
Lieutenant Colonel Luis A. Mantilla International Airport,Tulcán,TUA
Port Stanley Airport,Stanley,PSY
Safia Airport,Safia,SFU
Aeropuerto Internacional Silvio Pettirossi,Luque,ASU
Aeropuerto Nacional de Juan De Ayolas,Ayolas,AYO
Aeropuerto Nacional Tte. Cnel. Carmelo Peralta,Concepción,CIO
Aeropuerto Nacional Tte. Amin Ayub González,Encarnación,ENO
Aeropuerto Internacional Guaraní,Ciudad del Este,AGT
Aeródromo de Filadelfia,Filadelfia,FLM
Aeropuerto Internacional Dr. Luis Maria Argaña,Mariscal Estigarribia,ESG
Aeropuerto Nacional Carlos Miguel Gimenez,Pilar,PIL
Aeropuerto Internacional Dr. Augusto Roberto Fuster,Pedro Juan Caballero,PJC
San José Island Airport,Las Perlas,SIC
Municipal Bom Futuro Airport,Lucas do Rio Verde,LVR
Tenente Lund Pressoto Airport,Franca,FRC
Sissano Airport,Sissano,SIZ
Inácio Luís do Nascimento Airport,Juara,JUA
Cruz Bay Seaplane Base,Saint John Island,SJF
Confresa Airport,Confresa,CFO
Novo Progresso Airport,Novo Progresso,NPR
Ariquemes Airport,Ariquemes,AQM
Juruti Airport,Juruti,JRT
Rio Grande Regional Airport,Rio Grande,RIG
Bauru/Arealva–Moussa Nakhal Tobias State Airport,Bauru,JTC
Aragarças Airport,Aragarças,ARS
El Encanto Airport,El Encanto,ECO
Arboletes Airport,Arboletes,ARO
San Juan De Uraba Airport,San Juan De Uraba,SJR
San Pedro Airport,San Pedro de Urabá,NPU
Puerto Rico Airport,Puerto Rico,PCC
Solano Airport,Solano,SQF
Yari Airport,Yari,AYI
Currillo Airport,Currillo,CUI
Monterrey Airport,Monterrey,MOY
Paratebueno Airport,Paratebueno,EUO
Pore Airport,Pore,PRE
San Luis De Palenque Airport,San Luis De Palenque,SQE
Tauramena Airport,Tauramena,TAU
Ayacucho Airport,Ayacucho,AYC
Las Flores Airport,Codazzi,DZI
San Juan Del César Airport,San Juan Del César,SJH
Bahia Cupica Airport,Bahía Cupica,BHF
Juradó Airport,Juradó,JUO
Unguía Airport,Unguía,UNC
Ayapel Airport,Ayapel,AYA
Barranco Minas Airport,Barranco Minas,NBB
Medina Airport,Medina,MND
Macanal Airport,Macanal,NAD
Guacamayas Airport,Guacamayas,GCA
Santana Ramos Airport,Santana Ramos,SRO
Barranca De Upia Airport,Barranca De Upia,BAC
Caquetania Airport,Caquetania,CQT
El Recreo Airport,Ruperto Polania,ELJ
Solita Airport,Solita,SOH
El Charco Airport,El Charco,ECR
Mosquera Airport,Mosquera,MQR
Santa Bárbara Airport,Iscuandé,ISD
Zapatoca Airport,Zapatoca,AZT
Herrera Airport,Campiña,HRR
Santa Ana Airport,Piedras,SQB
Acaricuara Airport,Acaricuara,ARF
Monfort Airport,Monfort,MFB
Morichal Airport,Morichal,MHF
Casuarito Airport,Casuarito,CSR
La Primavera Airport,La Primavera,LPE
Araracuara Airport,Araracuara,ACR
Alcides Fernández Airport,Acandí,ACD
Amalfi Airport,Amalfi,AFI
Gomez Nino Apiay Air Base,Apiay,API
El Eden Airport,Armenia,AXM
Tres De Mayo Airport,Puerto Asís,PUU
El Troncal Airport,Arauquita,ARQ
Las Flores Airport,El Banco,ELB
Palonegro Airport,Bucaramanga,BGA
El Dorado International Airport,Bogota,BOG
Ernesto Cortissoz International Airport,Barranquilla,BAQ
José Celestino Mutis Airport,Bahía Solano,BSC
Gerardo Tobar López Airport,Buenaventura,BUN
Capurganá Airport,Acandí,CPB
Camilo Daza International Airport,Cúcuta,CUC
Mandinga Airport,Condoto,COG
Rafael Nuñez International Airport,Cartagena,CTG
Carimagua Airport,Puerto López,CCO
Alfonso Bonilla Aragon International Airport,Cali,CLO
Cimitarra Airport,Cimitarra,CIM
Cravo Norte Airport,Cravo Norte,RAV
La Florida Airport,Tumaco,TCO
Carurú Airport,Carurú,CUO
Juan H White Airport,Caucasia,CAQ
Coveñas Airport,Coveñas,CVE
Las Brujas Airport,Corozal,CZU
El Bagre Airport,El Bagre,EBG
Yariguíes Airport,Barrancabermeja,EJA
Gustavo Artunduaga Paredes Airport,Florencia,FLA
Fundación Airport,Fundación,FDA
La Gaviota Airport,,LGT
Santiago Vila Airport,Girardot,GIR
Santa Ana Airport,Cartago,CRC
Juan Casiano Airport,Guapi,GPI
General Navas Pardo Airport,Chaparral,CPL
Hato Corozal Airport,Hato Corozal,HTZ
Perales Airport,Ibagué,IBE
Jaime Ortiz Betancourt Airport,Chigorodó,IGO
San Luis Airport,Ipiales,IPI
Antonio Roldán Betancur Airport,Carepa,APO
Caucaya Airport,Puerto Leguízamo,LQM
Jorge Isaac Airport,La Mina-Maicao,MCJ
La Pedrera Airport,La Pedrera,LPD
Alfredo Vásquez Cobo International Airport,Leticia,LET
Enrique Olaya Herrera Airport,Medellín,EOH
Miraflores Airport,Miraflores,MFS
Baracoa Airport,Magangué,MGN
Montelibano Airport,Montelíbano,MTB
Los Garzones Airport,Montería,MTR
Fabio Alberto Leon Bentley Airport,Mitú,MVP
La Nubia Airport,Manizales,MZL
La Macarena Airport,La Macarena,LMC
Necocli Airport,Necocli,NCI
Reyes Murillo Airport,Nuquí,NQU
Benito Salas Airport,Neiva,NVA
Aguas Claras Airport,Ocaña,OCV
Orocue Airport,Orocue,ORC
Juan Jose Rondon Airport,Paipa,RON
German Olano Airport,Puerto Carreño,PCR
Obando Cesar Gaviria Trujillo Airport,Puerto Inírida,PDA
Matecaña International Airport,Pereira,PEI
Pitalito Airport,Pitalito,PTX
Plato Airport,Plato,PLT
Puerto Nare Airport,Armenia,NAR
Guillermo León Valencia Airport,Popayán,PPN
German Olano Air Base,La Dorada,PAL
Puerto Berrio Airport,Puerto Berrio,PBE
Antonio Nariño Airport,Chachagüí,PSO
El Embrujo Airport,Providencia,PVA
Paz De Ariporo Airport,Paz De Ariporo,PZA
Mariquita Airport,Mariquita,MQU
Jose Maria Córdova International Airport,Medellín,MDE
Almirante Padilla Airport,Riohacha,RCH
Los Colonizadores Airport,Saravena,RVE
Jorge E. Gonzalez Torres Airport,San José Del Guaviare,SJE
Santa Rosalia Airport,Santa Rosalia,SSL
Simón Bolívar International Airport,Santa Marta,SMR
Alberto Lleras Camargo Airport,Sogamoso,SOX
Gustavo Rojas Pinilla International Airport,San Andrés,ADZ
San Marcos Airport,San Marcos,SRS
Eduardo Falla Solano Airport,San Vicente Del Caguán,SVI
Tibú Airport,Tibú,TIB
Trinidad Airport,Trinidad,TDA
Golfo de Morrosquillo Airport,Santiago de Tolú,TLU
Gustavo Vargas Airport,Tame,TME
Tres Esquinas Air Base,Tres Esquinas,TQS
Gonzalo Mejía Airport,Turbo,TRB
Uribe Airport,La Uribe,URI
Santiago Perez Airport,Arauca,AUC
El Caraño Airport,Quibdó,UIB
Heriberto Gíl Martínez Airport,Tuluá,ULQ
Urrao Airport,Urrao,URR
Villa Garzón Airport,Villa Garzón,VGZ
Velásquez Airport,Puerto Boyacá,PYA
Alfonso López Pumarejo Airport,Valledupar,VUP
Vanguardia Airport,Villavicencio,VVC
Yaguara Airport,San Vicente Del Caguán,AYG
El Yopal Airport,El Yopal,EYP
Monteagudo Airport,El Bañado,MHW
Alcantarí Airport,Yamparaez,SRE
Apolo Airport,Apolo,APB
Ascención De Guarayos Airport,Ascensión de Guarayos,ASC
Bermejo Airport,Bermejo,BJO
Camiri Airport,Camiri,CAM
Jorge Wilsterman International Airport,Cochabamba,CBB
Chimore Airport,Chimore,CCA
Capitán Aníbal Arab Airport,Cobija,CIJ
Concepción Airport,Concepción,CEP
El Trompillo Airport,Santa Cruz,SRZ
Capitán de Av. Emilio Beltrán Airport,Guayaramerín,GYA
Huacaraje Airport,Itenes,BVK
Solomon Airport,Karijini National Park,SLJ
San José De Chiquitos Airport,San José de Chiquitos,SJS
San Joaquín Airport,San Joaquín,SJB
San Javier Airport,San Javier,SJV
El Alto International Airport,La Paz / El Alto,LPB
Magdalena Airport,Magdalena,MGD
Juan Mendoza Airport,Oruro,ORU
Capitan Nicolas Rojas Airport,Potosí,POI
Puerto Rico Airport,Puerto Rico/Manuripi,PUR
Capitán Av. Salvador Ogaya G. airport,Puerto Suárez,PSZ
San Ramón Airport,San Ramón / Mamoré,SRD
Roboré Airport,Roboré,RBO
Capitán Av. Selin Zeitun Lopez Airport,Riberalta,RIB
Reyes Airport,Reyes,REY
Santa Ana Del Yacuma Airport,Santa Ana del Yacuma,SBL
Capitán Av. German Quiroga G. Airport,San Borja,SRJ
Capitán Av. Juan Cochamanidis S. Airport,San Ignacio de Velasco,SNG
San Ignacio de Moxos Airport,San Ignacio de Moxos,SNM
Santa Rosa De Yacuma Airport,Santa Rosa,SRB
San Matías Airport,San Matías,MQK
Capitan Oriel Lea Plaza Airport,Tarija,TJA
Teniente Av. Jorge Henrich Arauz Airport,Trinidad,TDD
Uyuni Joya Andina Airport,Quijarro,UYU
Capitán Av. Vidal Villagomez Toledo Airport,Vallegrande,VAH
Teniente Coronel Rafael Pabón Airport,Villamontes,VLM
Viru Viru International Airport,Santa Cruz,VVI
Yacuiba Airport,Yacuíba,BYC
Albina Airport,Albina,ABN
Totness Airport,Totness,TOT
Drietabbetje Airport,Drietabbetje,DRJ
Sapmanga Airport,Sapmanga,SMH
Johan Adolf Pengel International Airport,Zandery,PBM
Moengo Airstrip,Moengo,MOJ
Nieuw Nickerie - Major Henk Fernandes Airport,Nieuw Nickerie,ICK
Vincent Fayks Airport,Paloemeu,OEM
Stoelmanseiland Airport,Stoelmanseiland,SMZ
Wageningen Airstrip,Wageningen,AGI
Zorg en Hoop Airport,Paramaribo,ORG
Dr. Luciano de Arruda Coelho Regional Airport,Sobral,JSO
Araripina Airport,Araripina,JAW
Alto Parnaíba Airport,Alto Parnaíba,APY
Arapiraca Airport,Arapiraca,APQ
Cirilo Queiróz Airport,Almenara,AMJ
Marcelo Pires Halzhausen Airport,Assis,AIF
Barra do Corda Airport,Barra Do Corda,BDC
Belmonte Airport,Belmonte,BVM
Dom Ricardo Weberberger Airport,Barreiras,BRA
Balsas Airport,Balsas,BSS
Sócrates Mariani Bittencourt Airport,Brumado,BMS
Barra Airport,Barra,BQQ
Planalto Serrano Regional Airport,Correia Pinto,EEA
Cururupu Airport,Cururupu,CPU
Colatina Airport,Colatina,QCH
Redenção Airport,Redenção,RDC
Leopoldina Airport,Leopoldina,LEP
Diamantina Airport,Diamantina,DTI
Brigadeiro Cabral Airport,Divinópolis,DIQ
Nagib Demachki Airport,Paragominas,JPE
Sócrates Rezende Airport,Canavieiras,CNV
Vacaria Airport,Vacaria,VCC
São Félix do Xingu Airport,São Félix do Xingu,SXX
Guarapari Airport,Guarapari,GUZ
Guadalupe Airport,Guadalupe,GDP
Guanambi Airport,Guanambi,GNM
Garanhuns Airport,Garanhuns,QGP
Tertuliano Guedes de Pinho Airport,Itabuna,ITN
Santa Magalhães Airport,Serra Talhada,SET
Irecê Airport,Irecê,IRE
Iguatu Airport,Iguatu,QIG
Itapetinga Airport,Itapetinga,QIT
Ipiaú Airport,Ipiaú,IPU
Jacobina Airport,Jacobina,JCM
João Durval Carneiro Airport,Feira De Santana,FEC
Jequié Airport,Jequié,JEQ
Januária Airport,Januária,JNA
Prefeito Octávio de Almeida Neves Airport,São João Del Rei,JDR
Cachoeiro do Itapemirim - Raimundo de Andrade Airport,Cachoeiro do Itapemirim,CDI
Currais Novos Airport,Currais Novos,QCP
São Lourenço Airport,São Lourenço,SSO
Monte Alegre Airport,Monte Alegre,MTE
Mucuri Airport,Mucuri,MVS
São Mateus - Ernesto Bonomo Airport,São Mateus,SBJ
Porto de Moz Airport,Porto De Moz,PTQ
Nanuque Airport,Nanuque,NNU
Municipal José Figueiredo Airport,Passos,PSW
Feijó Airport,Feijó,FEJ
Oriximiná Airport,Oriximiná,ORX
Picos Airport,Picos,PCS
Patos de Minas Airport,Patos De Minas,POJ
Morro de São Paulo Airport,Cairu,MXQ
Pirapora Airport,Pirapora,PIV
San Quintín Military Airstrip,San Quintín,SNQ
Cangapara Airport,Floriano,FLB
Prado Airport,Prado,PDF
Caruaru Airport,Caruaru,CAU
Salinópolis Airport,Salinópolis,OPP
Soure Airport,Soure,SFK
9 de Maio - Teixeira de Freitas Airport,Teixeira De Freitas,TXF
Óbidos Municipal Airport,Óbidos,OBI
Juscelino Kubitscheck Airport,Teófilo Otoni,TFL
Aeroporto Brigadeiro Firmino Ayres,Patos,JPO
Valença Airport,Valença,VAL
Mélio Viana Airport,Três Corações,QID
Breves Airport,Breves,BVS
Camocim - Pinto Martins Airport,Camocim,CMC
Crateús Airport,Crateús,JCS
Almeirim Airport,Almeirim,GGF
Pinheiro Airport,Pinheiro,PHI
Antônio Guerreiro Airport,Guimarães,GMS
Pouso Alegre Airport,Pouso Alegre,PPY
Pedro Rabelo de Souza Airport,Paracatu,PYT
Ituberá Airport,Ituberá,ITE
Borama Airport,Borama,BXX
Sóc Trăng Airport,Sóc Trăng,SOA
Cayenne – Félix Eboué Airport,Matoury,CAY
Grand-Santi Airport,Grand-Santi,GSI
Maripasoula Airport,Maripasoula,MPY
Saint-Georges-de-l'Oyapock Airport,Saint-Georges-de-l'Oyapock,OYP
Saint-Laurent-du-Maroni Airport,Saint-Laurent-du-Maroni,LDX
Régina Airport,Régina,REI
Saül Airport,Saül,XAU
Al Thaurah Airport,Al Thaurah,SOR
Alerta Airport,Fortaleza,ALD
Alferez FAP Alfredo Vladimir Sara Bauer Airport,Andoas,AOP
Teniente General Gerardo Pérez Pinedo Airport,Atalaya,AYX
Moyobamba Airport,Moyobamba,MBP
Huallaga Airport,Bellavista,BLP
Iberia Airport,Iberia,IBP
Cap FAP David Abenzur Rengifo International Airport,Pucallpa,PCL
Trompeteros Airport,Corrientes,TDP
FAP Lieutenant Jaime Andres de Montreuil Morales Airport,Chimbote,CHM
Tingo Maria Airport,Tingo Maria,TGI
Air Force Captain Jose A Quinones Gonzales International Airport,Chiclayo,CIX
Air Force Colonel Alfredo Mendivil Duarte Airport,Ayacucho,AYP
Andahuaylas Airport,Andahuaylas,ANS
Comandante FAP German Arias Graziani Airport,Anta,ATA
Quincemil Air Base,Quince Mil,UMI
Jorge Chávez International Airport,Lima,LIM
Uchiza Airport,Uchiza,UCZ
Juan Simons Vela Airport,Rioja,RIJ
Shumba Airport,Jaén,JAE
Juanjui Airport,Juanjuí,JJI
Francisco Carle Airport,Jauja,JAU
Inca Manco Capac International Airport,Juliaca,JUL
San Juan de Marcona Airport,San Juan de Marcona,SJA
Mayor General FAP Armando Revoredo Iglesias Airport,Cajamarca,CJA
San Nicolas Airport,Rodriguez de Mendoza,RIM
General Jorge Fernandez Maldon Airport,Ilo,ILQ
Captain Pedro Canga Rodríguez International Airport,Tumbes,TBP
Mayor PNP Nancy Flores Paucar Airport,Mazamari,MZA
Moises Benzaquen Rengifo Airport,Yurimaguas,YMS
Alferez Fap David Figueroa Fernandini Airport,Huánuco,HUU
Saposoa Airport,Plaza Saposoa,SQU
Chachapoyas Airport,Chachapoyas,CHH
Coronel FAP Francisco Secada Vignetta International Airport,Iquitos,IQT
Rodríguez Ballón International Airport,Arequipa,AQP
Capitan FAP Carlos Martinez De Pinillos International Airport,Trujillo,TRU
Captain Renán Elías Olivera International Airport,Pisco,PIO
Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,TPP
Shiringayoc Airport,Shiringayoc,SYC
Coronel FAP Carlos Ciriani Santa Rosa International Airport,Tacna,TCQ
Padre Aldamiz International Airport,Puerto Maldonado,PEM
Capitán FAP Guillermo Concha Iberico International Airport,Piura,PIU
Captain Victor Montes Arias International Airport,Talara,TYL
Maria Reiche Neuman Airport,Nazca,NZC
Alejandro Velasco Astete International Airport,Cusco,CUZ
Shangrao Sanqingshan Airport,Shangrao,SQD
Sanming Shaxian Airport,Sanming,SQJ
China Strait Airstrip,Samarai Island,SQT
Cayana Airstrip,Awaradam,AAJ
Tepoe Airstrip,Kasikasima,KCB
Palo Verde Airport,Mulegé,SRL
Sandringham Airport,Sandringham Station,SRM
Stony River 2 Airport,Stony River,SRV
Carlos Ruhl Airport,Cruz Alta,CZB
Captain João Busse Airport,Apucarana,APU
Aeroclube de Bento Gonçalves Airport,Bento Gonçalves,BGV
Blumenau Airport,Blumenau,BNU
Olavo Cecco Rigon Airport,Concórdia,CCI
Cassilândia Airport,Cassilândia,CSS
Canela Airport,Canela,CEL
Cornélio Procópio Airport,Cornélio Procópio,CKO
Dourados Airport,Dourados,DOU
Erechim Airport,Erechim,ERM
Francisco Beltrão Airport,Francisco Beltrão,FBE
Guaíra Airport,Guaíra,GGJ
Walter Bündchen Airport,Horizontina,HRZ
João Batista Bos Filho Airport,Ijuí,IJU
Itaqui Airport,Itaqui,ITQ
Santa Terezinha Airport,Joaçaba,JCB
Campo Mourão Airport,Campo Mourão,CBW
Cachoeira do Sul Airport,Cachoeira Do Sul,QDB
Curitibanos Airport,Curitibanos,QCR
Cacoal Airport,Cacoal,OAL
Helmuth Baungarten Airport,Lontras,LOI
Alegrete Novo Airport,Alegrete,ALQ
Montenegro Airport,Montenegro,QGF
Novo Hamburgo Airport,Novo Hamburgo,QHV
São Miguel do Oeste Airport,São Miguel Do Oeste,SQX
Arapongas Airport,Arapongas,APX
Padre Israel Airport,Lavras,VRZ
Juvenal Loureiro Cardoso Airport,Pato Branco,PTO
Paranaguá Airport,Paranaguá,PNG
Paranavaí Airport,Paranavaí,PVI
Paranaíba Airport,Paranaíba,PBB
São Lourenço do Sul Airport,São Lourenço Do Sul,SQY
Siassi Airport,Siassi,SSS
São Borja Airport,São Borja,JBS
Santa Cruz do Sul Airport,Santa Cruz Do Sul,CSU
Plínio Alarcom Airport,Três Lagoas,TJL
Orlando de Carvalho Airport,Umuarama,UMU
Unifly Heliport,Arujá,ZFU
União da Vitória Airport,União da Vitória,UVI
Videira Airport,Videira,VIA
Santa Vitória do Palmar Airport,Santa Vitória Do Palmar,CTQ
Xanxerê Airport,Xanxerê,AXE
Avelino Vieira Airport,Arapoti,AAG
Luis Alberto Lehr Airport,Santa Rosa,SRA
Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,Ponta Grossa,PGZ
Artigas International Airport,Artigas,ATI
Bella Union Airport,Bella Union,BUV
Colonia Laguna de Los Patos International Airport,Colonia del Sacramento,CYR
Santa Bernardina International Airport,Durazno,DZO
Capitan Corbeta CA Curbelo International Airport,Punta del Este,PDP
Cerro Largo International Airport,Melo,MLZ
Carrasco General Cesáreo L. Berisso International Airport,Ciudad de la Costa,MVD
Tydeo Larre Borges Airport,Paysandu,PDU
Presidente General Don Oscar D. Gestido International Airport,Rivera,RVY
Nueva Hesperides International Airport,Salto,STY
Tacuarembo Airport,Tacuarembo,TAW
Treinta y Tres Airport,Treinta y Tres,TYT
Vichadero Airport,Vichadero,VCH
Oswaldo Guevara Mujica Airport,Acarigua,AGV
Anaco Airport,Anaco,AAO
Armando Schwarck Airport,Guayabal,LPJ
General José Antonio Anzoategui International Airport,Barcelona,BLA
Barinas Airport,Barinas,BNS
Barquisimeto International Airport,Barquisimeto,BRM
Escuela Mariscal Sucre Airport,Maracay,MYC
"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar",,CBL
Caicara del Orinoco Airport,,CXA
Zaraza Airport,Zaraza,ZRZ
Casigua El Cubo Airport,Casigua El Cubo,CUV
Calabozo Airport,Guarico,CLZ
Canaima Airport,Canaima,CAJ
General Francisco Bermúdez Airport,Carúpano,CUP
José Leonardo Chirinos Airport,Coro,CZE
Cumaná (Antonio José de Sucre) Airport,,CUM
Puerto Paez Airport,Puerto Paez,PPZ
El Dorado Airport,Bolivar,EOR
Elorza Airport,,EOZ
Guasdalito Airport,,GDO
Guiria Airport,,GUI
Guanare Airport,Guanare,GUQ
Higuerote Airport,Higuerote,HGE
Icabarú Airport,,ICA
Andrés Miguel Salazar Marcano Airport,Isla de Coche,ICC
Josefa Camejo International Airport,Paraguaná,LSP
Kavanayen Airport,,KAV
La Fria Airport,,LFR
La Chinita International Airport,Maracaibo,MAR
Alberto Carnevalli Airport,Mérida,MRD
Del Caribe Santiago Mariño International Airport,Isla Margarita,PMV
Simón Bolívar International Airport,Caracas,CCS
Maturín Airport,Maturín,MUN
Oro Negro Airport,Cabimas,CBS
Cacique Aramare Airport,Puerto Ayacucho,PYH
General Bartolome Salom International Airport,,PBL
Pedernales Airport,,PDZ
Perai-Tepuy Airport,Parai-tepuí,PPH
Paramillo Airport,,SCI
General Manuel Carlos Piar International Airport,Puerto Ordaz-Ciudad Guayana,PZO
Palmarito Airport,Palmarito,PTM
Los Roques Airport,Gran Roque Island,LRV
Stevens Village Airport,Stevens Village,SVS
San Antonio Del Tachira Airport,,SVZ
Santa Bárbara de Barinas Airport,Santa Bárbara,SBB
Santa Elena de Uairen Airport,,SNV
Mayor Buenaventura Vivas International Airport,Santo Domingo,STD
Sub Teniente Nestor Arias Airport,San Felipe,SNF
San Fernando De Apure Airport,Inglaterra,SFD
San Tomé Airport,El Tigre,SOM
Santa Bárbara del Zulia Airport,,STB
Tucupita Airport,Tucupita,TUV
Tumeremo Airport,,TMO
Uriman Airport,,URM
Arturo Michelena International Airport,Valencia,VLN
Juan Pablo Pérez Alfonso Airport,El Vigía,VIG
Dr. Antonio Nicolás Briceño Airport,Valera,VLV
Valle de La Pascua Airport,,VDP
Barcelos Airport,Barcelos,BAZ
Walfrido Salmito de Almeida Airport,São Benedito,JSB
Pontes e Lacerda Airport,Pontes e Lacerda,LCB
Borba Airport,Borba,RBB
Carauari Airport,Carauari,CAF
Costa Marques Airport,Costa Marques,CQS
Diamantino Airport,Diamantino,DMT
Dianópolis Airport,Dianópolis,DNO
Siwea Airport,Siwea,SWE
Eirunepé Airport,Eirunepé,ERN
Canarana Airport,Canarana,CQA
São Félix do Araguaia Airport,São Félix Do Araguaia,SXO
Satwag Airport,Satwag,SWG
Gurupi Airport,Gurupi,GRP
Araguaína Airport,Araguaína,AUX
Frederico Carlos Müller Airport,Água Boa,GGB
Humaitá Airport,Humaitá,HUW
Ipiranga Airport,Santo Antônio Do Içá,IPG
Santa Izabel do Morro Airport,Cristalândia,IDO
Ji-Paraná Airport,Ji-Paraná,JPR
Juína Airport,Juína,JIA
Juruena Airport,Juruena,JRN
Jataí Airport,Jataí,JTI
Cáceres Airport,Cáceres,CCX
Coari Airport,Coari,CIZ
Serra da Capivara Airport,São Raimundo Nonato,NSR
Catalão Airport,Catalão,TLZ
Lábrea Airport,Lábrea,LBR
General Leite de Castro Airport,Rio Verde,RVD
Maués Airport,Maués,MBZ
Novo Aripuanã Airport,Novo Aripuanã,NVP
Novo Campo Airport,Boca do Acre,BCR
Niquelândia Airport,Niquelândia,NQL
Anápolis Airport,Anápolis,APS
Fonte Boa Airport,Fonte Boa,FBA
Parintins Airport,Parintins,PIN
Pimenta Bueno Airport,Pimenta Bueno,PBQ
Fazenda Piraguassu Airport,Porto Alegre Do Norte,PBX
Silur Airport,Silur Mission,SWR
Arraias Airport,Arraias,AAI
Maestro Marinho Franco Airport,Rondonópolis,ROO
Aripuanã Airport,Aripuanã,AIR
Presidente João Batista Figueiredo Airport,Sinop,OPS
Santa Terezinha Airport,Santa Terezinha,STZ
Tapuruquara Airport,Santa Isabel Do Rio Negro,IRZ
Tangará da Serra Airport,Tangará Da Serra,TGQ
Fazenda Tucunaré Airport,Sapezal,AZL
Taguatinga Airport,Taguatinga,QHN
São Miguel do Araguaia Airport,São Miguel Do Araguaia,SQM
Vila Bela da Santíssima Trindade Airport,Vila Bela Da Santíssima Trindade,MTG
Vila Rica Airport,Vila Rica,VLP
Regional Orlando Villas Boas Airport,Matupá,MBK
Xavantina Airport,Nova Xavantina,NOK
Apuí Airport,Apuí,IUP
Western Sydney International (Nancy Bird Walton) Airport,Sydney (Badgerys Creek),SWZ
Sehulea Airport,Sehulea,SXH
Nunam Iqua Airport,Nunam Iqua,SXP
Aishalton Airport,Aishalton,AHL
Annai Airport,Annai,NAI
Seal Bay Seaplane Base,Seal Bay,SYB
Baramita Airport,Baramita,BMJ
Bartica A Airport,Bartica,GFO
Cheddi Jagan International Airport,Georgetown,GEO
